kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,rata_rata_ketinggian_air,tanggal_kejadian,frekuensi_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Pusat,JOHAR BARU,JOHAR BARU,"rw 05, 09, ",2,2,0,0,40,"23, 25  februari",2,0,0,0,0,0,0,0,0
Jakarta Pusat,JOHAR BARU,KAMPUNG RAWA,rw 06,1,2,0,0,20,23 februari,1,0,0,0,0,0,0,0,0
Jakarta Pusat,JOHAR BARU,TANAH TINGGI,rw 05,1,1,0,0,30,23 februari,1,0,0,0,0,0,0,0,0
Jakarta Pusat,KEMAYORAN,GUNUNG SAHARI SELATAN,"rw 04, 09, ",2,2,0,0,60,"2, 8, 23 februari",3,0,0,0,0,0,0,0,0
Jakarta Pusat,KEMAYORAN,SERDANG,"rw 06, 01",2,2,0,0,30,23 februari,1,0,0,0,0,0,0,0,0
Jakarta Pusat,KEMAYORAN,CEMPAKA BARU,"rw 05, 07",2,7,0,0,35,"23, 25  februari",2,0,0,0,0,0,0,0,0
Jakarta Pusat,KEMAYORAN,KEMAYORAN,rw 08,1,1,0,0,20,23 februari,1,0,0,0,0,0,0,0,0
Jakarta Pusat,KEMAYORAN,KEBON KOSONG,"rw 01, 02, 03, 04, 05, 06, 07, 08, 09, 12",10,10,0,0,30,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Pusat,KEMAYORAN,SUMUR BATU,rw 07,1,1,0,0,30,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Pusat,SAWAH BESAR,PASAR BARU,"rw 03,  04, 05, 06",4,6,0,0,25,"8, 21, 22, 23 februari",4,0,0,0,0,450,1,0,0
Jakarta Pusat,SAWAH BESAR,KARANG ANYAR,rw 06,1,1,0,0,20,23 februari,1,0,0,0,0,0,0,0,0
Jakarta Pusat,SAWAH BESAR,MANGGA DUA SELATAN,rw 11,1,1,0,0,30,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Pusat,SAWAH BESAR,GUNUNG SAHARI UTARA,"rw 03, 07",2,2,0,0,30,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Pusat,TANAH ABANG,BENDUNGAN HILIR,"rw 01, 03, 04, 06, 07",5,12,0,0,35,"8, 23, 25  februari",3,0,0,0,0,0,0,0,0
Jakarta Pusat,TANAH ABANG,KARET TENGSIN,"rw 07, 09, ",2,2,0,0,60,"22, 23, 25  februari",3,0,0,0,0,475,2,0,0
Jakarta Pusat,TANAH ABANG,PETAMBURAN,"rw 03, 09",2,10,0,0,65,"22, 23, 25  februari",3,2,0,0,0,1368,8,0,0
Jakarta Pusat,TANAH ABANG,KEBON MELATI,"rw 07, 16",2,2,0,0,45,"23, 25  februari",2,0,0,0,0,0,0,0,0
Jakarta Pusat,SENEN,KRAMAT,"rw 04, 06, 08",3,3,0,0,30,"20, 23, 25  februari",3,0,0,0,0,0,0,0,0
Jakarta Pusat,SENEN,KENARI,rw 05,1,1,0,0,20,23 februari,1,0,0,0,0,0,0,0,0
Jakarta Pusat,MENTENG,KEBON SIRIH,"rw 02, 04, 08",3,3,0,0,55,"20, 23 februari",2,0,0,0,0,50,1,0,0
Jakarta Pusat,MENTENG,MENTENG,"rw 05,  09, 11",3,3,0,0,35,"23, 25  februari",2,0,0,0,0,0,0,0,0
Jakarta Pusat,CEMPAKA PUTIH,RAWASARI,rw 09,1,2,0,0,25,"23, 25  februari",2,0,0,0,0,0,0,0,0
Jakarta Pusat,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,"rw 05, 06, 07, 08",4,4,0,0,30,"23, 25 februari",2,0,0,0,0,0,0,0,0
Jakarta Pusat,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,"rw 03, 08, 12",3,3,0,0,25,"08, 25 februari",2,0,0,0,0,0,0,0,0
Jakarta Pusat,GAMBIR,KEBON KELAPA,"rw 02, ",1,1,0,0,20,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Utara,TANJUNG PRIOK,SUNTER JAYA,"rw 02, 04, 12, ",3,3,0,0,20,"8, 25  februari",2,0,0,0,0,0,0,0,0
Jakarta Utara,TANJUNG PRIOK,WARAKAS,"rw 01, 12, 13",3,3,0,0,20,8 februari,1,0,0,0,0,0,0,0,0
Jakarta Utara,TANJUNG PRIOK,TANJUNG PRIOK,"rw 02, 07",2,2,0,0,20,8 februari,1,0,0,0,0,0,0,0,0
Jakarta Utara,TANJUNG PRIOK,KEBON BAWANG,"rw 02, 07",2,2,0,0,20,8 februari,1,0,0,0,0,0,0,0,0
Jakarta Utara,KELAPA GADING,KELAPA GADING BARAT,"rw 02, 03, 06, 11, 12",5,5,0,0,30,"8, 23 februari",2,0,0,0,0,0,0,0,0
Jakarta Utara,KELAPA GADING,KELAPA GADING TIMUR,"rw 01, 04, 05, 06, 08,09, 10, 11, 13, 15, 16, 18, 19, ",13,13,65,271,35,"8, 23, 25 februari",3,0,0,0,0,271,6,0,0
Jakarta Utara,KELAPA GADING,PEGANGSAAN DUA,"rw 02, 03, 04, 08, 09, 10, 11, 12, 19",9,9,44,182,45,"23, 25  februari",2,0,0,0,0,182,3,0,0
Jakarta Utara,KOJA,TUGU SELATAN,"rw 01, 02, 03, 04, 05, 08, 10, 11, 18",9,12,22,192,45,"8, 23 februari",2,0,0,0,0,138,1,0,0
Jakarta Utara,KOJA,TUGU UTARA,"rw 02, 03, 04, 10, 11",5,5,0,0,40,"8, 23  februari",2,0,0,0,0,0,0,0,0
Jakarta Utara,KOJA,RAWA BADAK SELATAN,"rw 04, 08, 09, 11",4,4,0,0,20,"8, 23 februari",2,0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,KAPUK MUARA,rw 01,1,3,0,0,40,"20, 23 februari",2,0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,PEJAGALAN,"rw 02, 12, 13, 14, 15",5,46,50,250,35,"8, 23, 25, 28 februari",4,0,0,0,0,150,4,0,0
Jakarta Utara,PENJARINGAN,PENJARINGAN,rw 17,1,1,0,0,40,"23, 25  februari",2,0,0,0,0,80,1,0,0
Jakarta Utara,PENJARINGAN,PLUIT,"rw 01, 11,",2,13,0,0,45,"1,2,3,4,    februari",4,0,0,0,0,0,0,0,0
Jakarta Utara,PADEMANGAN,ANCOL,"rw 02, 08, ",2,2,0,0,18,"2, 25 februari",2,0,0,0,0,0,0,0,0
Jakarta Utara,PADEMANGAN,PADEMANGAN BARAT,rw 10,1,1,0,0,20,8 februari,1,0,0,0,0,0,0,0,0
Jakarta Utara,PADEMANGAN,PADEMANGAN TIMUR,"rw 01, 02, 10",3,3,0,0,32,"8, 25 februari",2,0,0,0,0,0,0,0,0
Jakarta Utara,CILIINCING,ROROTAN,"rw 01, 02, 03, 04, 05, 06, 07,08,  09, 12, 13 ",11,12,338,1150,65,"8, 23, 25  februari",3,0,0,0,0,1150,7,0,0
Jakarta Utara,CILIINCING,SEMPER BARAT,"rw 01,02,04, 05, 06, 17",6,6,172,648,25,"8, 23, 25 februari",3,0,0,0,0,648,6,0,0
Jakarta Utara,CILIINCING,SEMPER TIMUR,"rw 03, 10, 11",3,3,50,200,25,"8, 25  februari",2,0,0,0,0,200,2,0,0
Jakarta Utara,CILIINCING,SUKAPURA,"rw 01, 02, 03, 04, 06, 07,08, 09, 10,12",10,18,175,566,55,"8, 23, 25  februari",3,0,0,0,0,566,6,0,0
Jakarta Utara,CILIINCING,CILINCING,"rw 03, 06, 09",3,14,0,0,25,"8, 23, 25  februari",3,0,0,0,0,0,0,0,0
Jakarta Utara,CILIINCING,MARUNDA,"rw 02, 04, 05, 07",4,6,230,417,33,"9, 23, 25, 28   februari",4,0,0,0,0,417,6,0,0
Jakarta Barat,CENGKARENG,CENGKARENG BARAT,"rw 06, 09, 10, 11",4,6,0,0,30,"8, 16, 20, 25  februari",4,0,0,0,0,0,0,0,0
Jakarta Barat,CENGKARENG,CENGKARENG TIMUR,"rw 03, 16, 12",3,9,0,0,65,"1, 8, 16  februari",3,0,0,0,0,0,0,0,0
Jakarta Barat,CENGKARENG,DURI KOSAMBI,"rw 04, 06, 08, 11",4,7,0,0,25,"1, 8, 16, 20, 25  februari",5,0,0,0,0,115,2,0,0
Jakarta Barat,CENGKARENG,KAPUK,"rw 01, 02, 03, 05, 06, 07, 12, 13, 15, 16",10,33,0,0,20,"1, 2,3, 4, 8, 16, 20, 22, 23, 25  februari",10,0,0,0,0,400,4,0,0
Jakarta Barat,CENGKARENG,KEDAUNG KALI ANGKE,"rw 01, 02,03,  04, 05, 08, 09",7,18,0,0,30,"1, 16, 20, 22, 25  februari",5,0,0,0,0,115,1,0,0
Jakarta Barat,CENGKARENG,RAWA BUAYA,"Rw 01, 02,03,  04, 06, 08,10,11, 12",9,24,0,0,30,"1, 8, 16, 20, 25 februari",5,0,0,0,0,50,1,0,0
Jakarta Barat,GROGOL PETAMBURAN,JELAMBAR,"rw 04, 05, 07, ",3,5,0,0,17,2 februari,1,0,0,0,0,0,0,0,0
Jakarta Barat,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,rw 02,1,1,0,0,40,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Barat,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,"rw 01, 02",2,2,0,0,18,16 februari,1,0,0,0,0,0,0,0,0
Jakarta Barat,GROGOL PETAMBURAN,TOMANG,rw 15,1,1,0,0,40,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Barat,KALIDERES,KALIDERES,"rw 08, 06, ",2,2,0,0,20,4 februari,1,0,0,0,0,0,0,0,0
Jakarta Barat,KALIDERES,KAMAL,"rw 01,  03",2,3,0,0,20,"20, 27  februari",2,0,0,0,0,0,0,0,0
Jakarta Barat,KALIDERES,PEGADUNGAN,"rw 01, 03, 04, 05. 07",5,7,0,0,33,"4, 20, 25 februari",3,0,0,0,0,0,0,0,0
Jakarta Barat,KALIDERES,SEMANAN,"rw 03,04,  07, 10",4,4,0,0,35,"1, 8, 20, 25, 27   februari",5,0,0,0,0,0,0,0,0
Jakarta Barat,KALIDERES,TEGAL ALUR,"rw 01, 02, 03, 04, 05, 09, 11, 12, 13, 15",10,29,0,0,25,"1, 2, 3,4, 8, 16, 22, 25, 27   februari",9,0,0,0,0,55,2,0,0
Jakarta Barat,KEBON JERUK,DURI KEPA,rw 14,1,1,0,0,20,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,"rw 01,03,  05",3,6,0,0,28,"20, 23, 25   februari",3,0,0,0,0,0,0,0,0
Jakarta Barat,KEBON JERUK,KEDOYA UTARA,"rw 08, ",1,5,0,0,35,"2, 23 februari",2,0,0,0,0,0,0,0,0
Jakarta Barat,KEBON JERUK,SUKABUMI SELATAN,"rw 01, 02, ",2,3,0,0,45,"16, 25  februari",2,0,0,0,0,0,0,0,0
Jakarta Barat,KEBON JERUK,KEBON JERUK,rw 01,1,1,0,0,40,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Barat,KEMBANGAN,KEMBANGAN SELATAN,"Rw 01, 09",2,2,0,0,20,"1,2, 8, 22, 23  februari",5,0,0,0,0,0,0,0,0
Jakarta Barat,KEMBANGAN,KEMBANGAN UTARA,"rw 01, 03, 04, 05,08,  10",6,12,0,0,55,"1, 8, 23, 25   februari",4,0,0,0,0,65,3,0,0
Jakarta Barat,KEMBANGAN,SRENGSENG,"rw 02, 08",2,3,0,0,18,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Barat,PALMERAH,JATI PULO,"rw 05,  09",2,5,0,0,25,"23, 25  februari",2,0,0,0,0,0,0,0,0
Jakarta Barat,PALMERAH,KEMANGGISAN,rw 09,1,1,0,0,25,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Barat,PALMERAH,KOTA BAMBU SELATAN,"rw 01, 02, 05",3,3,21,85,30,"23, 25  februari",2,0,0,0,0,85,1,0,0
Jakarta Barat,PALMERAH,KOTA BAMBU UTARA,rw 02,1,1,0,0,25,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Barat,TAMAN SARI,TANGKI,"rw 02, 07",2,18,0,0,35,25 februari,1,1,0,0,0,0,0,0,0
Jakarta Barat,TAMAN SARI,MANGGA BESAR,rw 01,1,1,0,0,35,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Barat,TAMBORA,PEKOJAN,rw 12,1,1,0,0,40,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Selatan,CILANDAK,CILANDAK BARAT,rw 02,1,1,0,0,65,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Selatan,CILANDAK,CIPETE SELATAN,"rw 01, 07",2,2,0,0,30,"22, 23  februari",2,0,0,0,0,0,0,0,0
Jakarta Selatan,CILANDAK,PONDOK LABU,rw 03,1,1,0,0,20,22 februari,1,0,0,0,0,0,0,0,0
Jakarta Selatan,JAGAKARSA,TANJUNG BARAT,"rw 05, ",1,2,0,0,55,"8, 20, 25 februari",3,0,0,0,0,0,0,0,0
Jakarta Selatan,JAGAKARSA,CIPEDAK,rw 06,1,1,0,0,15,25 februari,1,0,0,0,0,0,0,0,0
